;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{122};\textbf{{6}};{204};{45};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{1,038};{1,320};{1,200};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;1067;1094;1095;622;613;614;1111;1098;1095;81;97;110;1117;1131;1083
cuts;;;;;;;;;;;;;;;;;;;
# total;{47,262};{12,963};{26,027};\textbf{{8,003}};{390,825};{392,629};{387,427};{994,177};{994,987};{987,904};{382,283};{391,531};{387,849};{140,769};{171,755};{158,097};{373,139};{372,381};{391,373}
# max;{400};{8,362};{186};{500};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{2};{16};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{22,493};{22,443};{23,675};{136,047};{134,127};{134,175};{22,847};{23,823};{22,871};{30,158};{38,660};{39,872};{23,366};{22,366};{23,421}
# removed;{43,535};{7,190};{23,452};{5,379};{386,392};{388,288};{383,042};{988,377};{988,865};{982,200};{377,858};{387,156};{383,454};{134,093};{165,476};{150,739};{368,669};{367,987};{386,963}
objective;;;;;;;;;;;;;;;;;;;
bound;0.4275;\textbf{0.4275};0.4275;0.4275;0.391;0.3904;0.3895;0.3865;0.3863;0.3866;0.3899;0.389;0.3903;0.398;0.3978;0.3978;0.3891;0.39;0.3893
gap;36.1%;36.1%;36.1%;36.1%;24.4%;24.3%;24.0%;23.0%;$\bm{22.9%}$;23.0%;24.1%;23.8%;24.2%;26.7%;26.6%;26.6%;23.8%;24.1%;23.9%
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};4.846;\textbf{0.794};5.822;4.210;652.918;657.831;640.986;1234.069;1249.390;1211.961;654.060;668.754;666.687;2322.078;3922.257;4303.249;650.074;623.255;657.059
normalized;1.00;\textbf{0.16};1.20;0.87;134.73;135.75;132.27;254.66;257.82;250.10;134.97;138.00;137.57;479.17;809.38;888.00;134.15;128.61;135.59
lp time \si[per-mode=symbol]{\per\second};4.701;\textbf{0.764};5.566;4.042;618.769;623.890;606.817;1198.666;1213.964;1176.594;619.855;634.372;632.492;67.300;100.684;79.603;615.768;589.009;623.100
