;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{12};\textbf{{4}};{18};{16};{43};{40};{41};{36};{29};{28};{29};{53};{32};{12};{12};{12};{25};{48};{34}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;5;4;4;3;3;2;3;5;4;1;1;2;2;5;4
cuts;;;;;;;;;;;;;;;;;;;
# total;{3,748};{3,173};{1,902};\textbf{{1,837}};{7,215};{6,884};{6,945};{6,463};{5,515};{5,666};{5,458};{7,630};{6,413};{3,748};{3,748};{3,748};{5,307};{6,769};{5,998}
# max;{400};{1,451};{155};{195};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{12};{638};{2};{9};{4};{4};{3};{3};{4};{4};{4};{4};{4};{12};{12};{12};{4};{4};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{50};{45};{40};{148};{108};{45};{31};{62};{33};{0};{0};{0};{11};{44};{38}
# removed;{1,256};{382};{1,019};{923};{4,789};{4,606};{4,723};{3,896};{2,650};{3,493};{2,697};{5,207};{3,581};{1,256};{1,256};{1,256};{2,948};{4,583};{3,745}
objective;;;;;;;;;;;;;;;;;;;
bound;0.5529;\textbf{0.5529};0.5529;0.5529;0.5499;0.5499;0.5499;0.5499;0.5499;0.5499;0.5499;0.5499;0.5499;0.5529;0.5529;0.5529;0.5499;0.5499;0.5499
gap;0.5%;0.5%;0.5%;0.5%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;0.5%;0.5%;0.5%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.077;\textbf{0.026};0.121;0.125;0.218;0.210;0.209;0.211;0.164;0.177;0.153;0.271;0.208;5.620;3.845;9.410;0.153;0.226;0.201
normalized;1.00;\textbf{0.34};1.57;1.62;2.83;2.73;2.71;2.74;2.13;2.30;1.99;3.52;2.70;72.99;49.94;122.21;1.99;2.94;2.61
lp time \si[per-mode=symbol]{\per\second};0.067;\textbf{0.021};0.113;0.114;0.191;0.177;0.178;0.181;0.145;0.158;0.132;0.232;0.188;0.065;0.067;0.068;0.134;0.198;0.175
