;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{62};\textbf{{6}};{153};{17};{76};{78};{72};{77};{73};{73};{73};{77};{73};{66};{64};{68};{76};{75};{73}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;2;2;1;2;2;1;1;2;2;4;2;8;2;1;1
cuts;;;;;;;;;;;;;;;;;;;
# total;{24,136};{15,605};{26,062};\textbf{{5,005}};{25,854};{26,377};{26,264};{26,362};{26,595};{26,081};{26,141};{26,369};{26,316};{25,626};{24,906};{26,274};{25,930};{26,013};{25,570}
# max;{400};{8,793};{236};{798};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{136};{140};{6};{11};{10};{10};{24};{10};{10};{23};{16};{10};{10};{136};{136};{136};{9};{16};{24}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{34};{33};{24};{33};{32};{23};{21};{34};{34};{1,090};{370};{1,738};{32};{23};{24}
# removed;{16,095};{6,755};{23,320};{2,015};{17,316};{17,675};{17,508};{17,547};{17,653};{17,647};{17,206};{17,667};{17,366};{16,755};{16,507};{17,131};{17,348};{17,569};{17,152}
objective;;;;;;;;;;;;;;;;;;;
bound;0.6144;0.6144;0.6144;0.6144;\textbf{0.6133};\textbf{0.6133};\textbf{0.6133};\textbf{0.6133};\textbf{0.6133};\textbf{0.6133};\textbf{0.6133};\textbf{0.6133};\textbf{0.6133};0.6143;0.6143;0.6143;\textbf{0.6133};\textbf{0.6133};\textbf{0.6133}
gap;0.2%;0.2%;0.2%;0.2%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;0.2%;0.2%;0.2%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};5.873;\textbf{0.119};9.991;1.642;6.438;6.500;6.386;6.541;6.541;6.367;6.298;6.500;6.521;371.361;296.386;840.970;6.499;6.444;6.495
normalized;1.00;\textbf{0.02};1.70;0.28;1.10;1.11;1.09;1.11;1.11;1.08;1.07;1.11;1.11;63.23;50.47;143.19;1.11;1.10;1.11
lp time \si[per-mode=symbol]{\per\second};5.757;\textbf{0.087};9.817;1.578;6.271;6.329;6.240;6.370;6.386;6.210;6.146;6.335;6.367;5.822;5.850;5.853;6.332;6.281;6.337
