;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;\textbf{{4}};\textbf{{4}};{12};{12};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cuts;;;;;;;;;;;;;;;;;;;
# total;{746};{746};\textbf{{438}};\textbf{{438}};{746};{746};{746};{746};{746};{746};{746};{746};{746};{746};{746};{746};{746};{746};{746}
# max;{387};{387};{63};{63};{387};{387};{387};{387};{387};{387};{387};{387};{387};{387};{387};{387};{387};{387};{387}
# min;{118};{118};{2};{2};{118};{118};{118};{118};{118};{118};{118};{118};{118};{118};{118};{118};{118};{118};{118}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0}
# removed;{66};{66};{122};{122};{66};{66};{66};{66};{66};{66};{66};{66};{66};{66};{66};{66};{66};{66};{66}
objective;;;;;;;;;;;;;;;;;;;
bound;\textbf{0.4696};\textbf{0.4696};0.4696;0.4696;\textbf{0.4696};\textbf{0.4696};\textbf{0.4696};\textbf{0.4696};\textbf{0.4696};\textbf{0.4696};\textbf{0.4696};\textbf{0.4696};\textbf{0.4696};\textbf{0.4696};\textbf{0.4696};\textbf{0.4696};\textbf{0.4696};\textbf{0.4696};\textbf{0.4696}
gap;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.003;0.003;0.009;0.010;0.003;\textbf{0.002};0.003;0.003;0.003;0.003;\textbf{0.002};0.003;0.003;0.003;0.003;0.003;0.003;0.003;\textbf{0.002}
normalized;1.00;1.00;3.00;3.33;1.00;\textbf{0.67};1.00;1.00;1.00;1.00;\textbf{0.67};1.00;1.00;1.00;1.00;1.00;1.00;1.00;\textbf{0.67}
lp time \si[per-mode=symbol]{\per\second};\textbf{0.001};0.003;0.006;0.008;\textbf{0.001};0.002;0.003;0.002;0.003;\textbf{0.001};0.002;0.003;0.003;0.002;\textbf{0.001};0.003;0.003;\textbf{0.001};0.002
