;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{13};\textbf{{4}};{17};{14};{16};{17};{17};{16};{18};{16};{17};{18};{17};{13};{13};{13};{17};{17};{17}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1
cuts;;;;;;;;;;;;;;;;;;;
# total;{4,454};{4,210};{1,658};\textbf{{1,570}};{4,612};{4,800};{4,619};{4,658};{5,276};{4,710};{4,743};{4,614};{5,326};{4,454};{4,454};{4,454};{4,700};{4,652};{4,897}
# max;{400};{2,162};{150};{191};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{54};{808};{7};{6};{4};{4};{4};{4};{4};{4};{4};{4};{4};{54};{54};{54};{4};{4};{4}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{4};{4};{4};{4};{4};{4};{4};{9};{4};{0};{0};{0};{4};{4};{4}
# removed;{1,779};{1,097};{597};{465};{1,790};{1,810};{1,798};{1,799};{1,866};{1,809};{1,862};{1,914};{2,247};{1,779};{1,779};{1,779};{1,800};{1,800};{1,806}
objective;;;;;;;;;;;;;;;;;;;
bound;0.5846;0.5846;0.5846;0.5846;\textbf{0.5837};\textbf{0.5837};\textbf{0.5837};\textbf{0.5837};\textbf{0.5837};\textbf{0.5837};\textbf{0.5837};\textbf{0.5837};\textbf{0.5837};0.5846;0.5846;0.5846;\textbf{0.5837};\textbf{0.5837};\textbf{0.5837}
gap;0.1%;0.1%;0.1%;0.1%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;0.1%;0.1%;0.1%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.067;\textbf{0.024};0.069;0.056;0.078;0.082;0.081;0.079;0.086;0.079;0.083;0.087;0.083;14.954;18.114;33.001;0.082;0.079;0.080
normalized;1.00;\textbf{0.36};1.03;0.84;1.16;1.22;1.21;1.18;1.28;1.18;1.24;1.30;1.24;223.19;270.36;492.55;1.22;1.18;1.19
lp time \si[per-mode=symbol]{\per\second};0.050;\textbf{0.018};0.053;0.041;0.059;0.061;0.061;0.060;0.064;0.060;0.063;0.064;0.061;0.052;0.049;0.051;0.059;0.058;0.059
