;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{37};\textbf{{7}};{55};{18};{46};{45};{47};{45};{43};{50};{46};{42};{44};{37};{37};{37};{47};{45};{44}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;2;2;3;3;2;3;2;2;2;1;1;2;3;2;2
cuts;;;;;;;;;;;;;;;;;;;
# total;{13,295};{12,674};{6,985};\textbf{{3,250}};{13,413};{13,391};{13,405};{13,410};{13,371};{13,509};{13,395};{13,392};{13,453};{13,295};{13,295};{13,295};{13,395};{13,419};{13,367}
# max;{400};{8,511};{192};{368};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{2};{2};{2};{5};{2};{2};{1};{2};{2};{2};{2};{2};{2};{2};{2};{2};{2};{2};{2}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{19};{19};{28};{36};{21};{42};{17};{19};{19};{0};{0};{0};{22};{20};{17}
# removed;{11,083};{4,769};{5,706};{1,855};{11,170};{11,175};{11,169};{11,165};{11,134};{11,202};{11,164};{11,131};{11,147};{11,083};{11,083};{11,083};{11,175};{11,166};{11,135}
objective;;;;;;;;;;;;;;;;;;;
bound;25.73;25.73;25.73;25.73;\textbf{25.67};\textbf{25.67};\textbf{25.67};\textbf{25.67};\textbf{25.67};\textbf{25.67};\textbf{25.67};\textbf{25.67};\textbf{25.67};25.73;25.73;25.73;\textbf{25.67};\textbf{25.67};\textbf{25.67}
gap;0.2%;0.2%;0.2%;0.2%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;0.2%;0.2%;0.2%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.683;0.686;0.835;\textbf{0.285};0.732;0.723;0.742;0.727;0.712;0.768;0.725;0.711;0.733;59.500;86.635;145.476;0.735;0.723;0.725
normalized;1.00;1.00;1.22;\textbf{0.42};1.07;1.06;1.09;1.06;1.04;1.12;1.06;1.04;1.07;87.12;126.84;213.00;1.08;1.06;1.06
lp time \si[per-mode=symbol]{\per\second};0.629;0.658;0.763;\textbf{0.239};0.664;0.652;0.669;0.654;0.642;0.685;0.648;0.643;0.661;0.636;0.623;0.625;0.661;0.652;0.651
