;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{14};\textbf{{3}};{16};{14};{20};{19};{19};{22};{23};{28};{23};{21};{22};{15};{18};{19};{21};{21};{24}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;3;2;2;2;3;2;3;2;3;2;4;10;3;2;4
cuts;;;;;;;;;;;;;;;;;;;
# total;{4,563};{5,723};{1,637};\textbf{{1,567}};{4,882};{4,789};{4,795};{5,250};{4,914};{5,291};{4,864};{4,815};{4,929};{4,637};{5,261};{5,429};{4,710};{5,013};{5,301}
# max;{400};{3,634};{171};{210};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{134};{2,089};{1};{18};{3};{7};{3};{7};{2};{1};{1};{10};{2};{74};{16};{74};{2};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{52};{43};{51};{49};{46};{42};{57};{56};{46};{74};{682};{866};{54};{56};{63}
# removed;{2,509};{2,434};{872};{812};{2,762};{2,647};{2,717};{3,212};{2,745};{3,143};{2,766};{2,802};{2,794};{2,510};{2,790};{2,679};{2,687};{2,798};{3,283}
objective;;;;;;;;;;;;;;;;;;;
bound;12.93;12.93;12.93;12.93;\textbf{12.82};\textbf{12.82};\textbf{12.82};\textbf{12.82};\textbf{12.82};\textbf{12.82};\textbf{12.82};\textbf{12.82};\textbf{12.82};12.93;12.92;12.92;\textbf{12.82};\textbf{12.82};\textbf{12.82}
gap;0.9%;0.9%;0.9%;0.9%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;0.9%;0.8%;0.8%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
seconds;0.103;\textbf{0.064};0.082;0.074;0.144;0.142;0.142;0.162;0.155;0.183;0.161;0.150;0.155;111.226;397.458;736.806;0.148;0.160;0.165
relative;1.00;\textbf{0.62};0.80;0.72;1.40;1.38;1.38;1.57;1.50;1.78;1.56;1.46;1.50;1079.86;3858.82;7153.46;1.44;1.55;1.60
