;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{9};\textbf{{6}};{14};{14};{9};{9};{9};{9};{9};{9};{9};{9};{9};{9};{9};{9};{9};{9};{9}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cuts;;;;;;;;;;;;;;;;;;;
# total;{2,474};{2,720};{813};\textbf{{765}};{2,474};{2,474};{2,474};{2,474};{2,474};{2,474};{2,474};{2,474};{2,474};{2,474};{2,474};{2,474};{2,474};{2,474};{2,474}
# max;{400};{1,680};{118};{118};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{7};{32};{3};{6};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0}
# removed;{949};{867};{350};{317};{949};{949};{949};{949};{949};{949};{949};{949};{949};{949};{949};{949};{949};{949};{949}
objective;;;;;;;;;;;;;;;;;;;
bound;\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51};\textbf{14.51}
gap;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.027;0.020;\textbf{0.018};\textbf{0.018};0.026;0.027;0.027;0.026;0.027;0.027;0.027;0.027;0.027;0.026;0.027;0.026;0.027;0.026;0.026
normalized;1.00;0.74;\textbf{0.67};\textbf{0.67};0.96;1.00;1.00;0.96;1.00;1.00;1.00;1.00;1.00;0.96;1.00;0.96;1.00;0.96;0.96
lp time \si[per-mode=symbol]{\per\second};0.024;0.019;0.013;\textbf{0.012};0.022;0.025;0.023;0.023;0.023;0.023;0.022;0.025;0.023;0.023;0.025;0.023;0.024;0.023;0.023
