;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{114};\textbf{{5}};{256};{19};{122};{121};{123};{118};{119};{120};{119};{126};{117};{114};{114};{114};{123};{119};{118}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;3;3;3;1;1;3;1;4;1;1;1;2;6;1;1
cuts;;;;;;;;;;;;;;;;;;;
# total;{44,928};{18,369};{33,713};\textbf{{7,626}};{46,014};{45,768};{45,972};{45,759};{46,117};{46,056};{46,054};{46,913};{45,254};{44,928};{44,928};{44,928};{45,616};{45,781};{45,593}
# max;{400};{14,361};{184};{590};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{128};{146};{9};{2};{2};{2};{2};{2};{2};{2};{2};{2};{2};{128};{128};{128};{2};{2};{2}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{50};{51};{46};{2};{2};{66};{2};{128};{2};{0};{0};{0};{130};{2};{2}
# removed;{39,967};{3,111};{31,056};{4,821};{40,605};{40,637};{40,743};{40,753};{40,610};{40,830};{40,882};{41,880};{40,228};{39,967};{39,967};{39,967};{40,454};{40,498};{40,277}
objective;;;;;;;;;;;;;;;;;;;
bound;0.5411;0.5411;0.5411;0.5411;0.5408;0.5408;0.5408;\textbf{0.5408};\textbf{0.5408};\textbf{0.5408};\textbf{0.5408};\textbf{0.5408};\textbf{0.5408};0.5411;0.5411;0.5411;\textbf{0.5408};\textbf{0.5408};\textbf{0.5408}
gap;0.1%;0.1%;0.1%;0.1%;0.0%;0.0%;0.0%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;0.1%;0.1%;0.1%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};4.358;\textbf{1.571};6.576;2.958;4.544;4.598;4.548;4.495;4.521;4.532;4.552;4.655;4.505;78.362;107.648;182.665;4.545;4.558;4.493
normalized;1.00;\textbf{0.36};1.51;0.68;1.04;1.06;1.04;1.03;1.04;1.04;1.04;1.07;1.03;17.98;24.70;41.91;1.04;1.05;1.03
lp time \si[per-mode=symbol]{\per\second};4.214;\textbf{1.546};6.302;2.892;4.383;4.439;4.383;4.344;4.368;4.375;4.395;4.480;4.350;4.213;4.271;4.231;4.383;4.402;4.344
