;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{14};\textbf{{2}};{43};{11};{90};{94};{167};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{453};{508};{425};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;6;6;7;79;81;74;157;187;169;13;13;13;198;204;177
cuts;;;;;;;;;;;;;;;;;;;
# total;{5,094};{7,454};{5,223};\textbf{{1,563}};{31,314};{32,303};{60,421};{3,369,328};{3,274,916};{3,372,404};{3,278,691};{3,124,495};{3,185,026};{119,875};{132,252};{115,986};{3,018,301};{2,978,987};{3,161,531}
# max;{400};{7,454};{167};{296};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{294};{7,454};{3};{2};{18};{5};{15};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{480};{483};{575};{7,668};{7,859};{7,171};{7,844};{9,264};{8,416};{4,800};{4,800};{4,400};{9,847};{10,143};{8,798}
# removed;{2,058};{0};{4,283};{736};{29,714};{30,703};{58,797};{3,367,276};{3,272,862};{3,370,361};{3,276,643};{3,123,130};{3,182,963};{118,205};{130,620};{114,314};{3,016,844};{2,976,916};{3,159,544}
objective;;;;;;;;;;;;;;;;;;;
bound;-310;-310;-310;-310;-243.3;-243.4;-240.5;-223.3;-222.3;-223.4;-222.2;-220;-221.5;-261.6;-261.6;-261.6;\textbf{-219.5};-219.7;-220.4
gap;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.715;\textbf{0.071};0.634;0.076;5.045;5.266;6.306;76.484;74.646;75.783;75.903;79.845;76.634;23.137;22.440;23.457;82.110;79.332;79.105
normalized;1.00;\textbf{0.10};0.89;0.11;7.06;7.37;8.82;106.97;104.40;105.99;106.16;111.67;107.18;32.36;31.38;32.81;114.84;110.95;110.64
lp time \si[per-mode=symbol]{\per\second};0.707;\textbf{0.066};0.618;0.071;4.982;5.199;6.184;69.842;68.051;69.065;69.386;73.429;70.211;9.698;10.495;8.950;75.746;73.092;72.653
