;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{3};\textbf{{2}};{17};{17};{84};{100};{68};{55};{77};{65};{100};{78};{53};{35};{58};{88};{80};{52};{63}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;15;18;12;9;11;9;18;12;9;9;15;37;11;10;10
cuts;;;;;;;;;;;;;;;;;;;
# total;{520};{614};\textbf{{380}};\textbf{{380}};{2,083};{2,121};{2,103};{2,423};{2,505};{2,258};{2,374};{2,261};{2,053};{2,369};{3,523};{4,417};{2,425};{1,846};{2,038}
# max;{400};{614};{53};{53};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{120};{614};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{215};{238};{217};{400};{503};{405};{259};{234};{210};{1,580};{2,418};{3,494};{185};{202};{208}
# removed;{183};{0};{232};{232};{1,897};{1,938};{1,916};{2,209};{2,274};{2,037};{2,208};{2,070};{1,846};{1,898};{3,033};{3,821};{2,246};{1,639};{1,827}
objective;;;;;;;;;;;;;;;;;;;
bound;-78.12;-78.12;-78.12;-78.12;\textbf{-66.23};\textbf{-66.23};\textbf{-66.23};\textbf{-66.23};\textbf{-66.23};\textbf{-66.23};\textbf{-66.23};\textbf{-66.23};\textbf{-66.23};-72.02;-71.74;-71.74;\textbf{-66.23};\textbf{-66.23};\textbf{-66.23}
gap;17.9%;17.9%;17.9%;17.9%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;8.7%;8.3%;8.3%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};\textbf{0.003};\textbf{0.003};0.005;0.005;0.046;0.051;0.041;0.038;0.050;0.043;0.055;0.046;0.035;1.229;1.548;4.786;0.044;0.032;0.037
normalized;\textbf{1.00};\textbf{1.00};1.67;1.67;15.33;17.00;13.67;12.67;16.67;14.33;18.33;15.33;11.67;409.67;516.00;1595.33;14.67;10.67;12.33
lp time \si[per-mode=symbol]{\per\second};0.003;\textbf{0.001};0.004;0.004;0.036;0.038;0.037;0.035;0.040;0.036;0.045;0.037;0.031;0.023;0.034;0.043;0.039;0.030;0.025
