;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{4};\textbf{{2}};{14};{14};{51};{47};{48};{41};{51};{42};{60};{60};{67};{60};{141};{234};{58};{47};{64}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;8;8;6;6;7;6;13;8;10;16;33;95;11;8;11
cuts;;;;;;;;;;;;;;;;;;;
# total;{809};{1,203};\textbf{{393}};\textbf{{393}};{2,313};{2,276};{2,399};{2,667};{2,867};{2,541};{2,324};{2,710};{2,707};{5,195};{11,495};{16,549};{2,662};{2,393};{2,689}
# max;{400};{1,203};{87};{87};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{9};{1,203};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{384};{383};{376};{440};{533};{497};{425};{427};{425};{3,634};{8,472};{13,964};{407};{380};{398}
# removed;{157};{0};{168};{168};{2,003};{2,001};{2,117};{2,333};{2,553};{2,250};{2,055};{2,394};{2,421};{4,509};{10,658};{15,386};{2,364};{2,113};{2,395}
objective;;;;;;;;;;;;;;;;;;;
bound;-27.73;-27.73;-27.73;-27.73;\textbf{-19.01};\textbf{-19.01};\textbf{-19.01};\textbf{-19.01};\textbf{-19.01};\textbf{-19.01};\textbf{-19.01};\textbf{-19.01};\textbf{-19.01};-24.37;-23.96;-23.96;\textbf{-19.01};\textbf{-19.01};\textbf{-19.01}
gap;45.8%;45.8%;45.8%;45.8%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;28.1%;26.0%;26.0%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};\textbf{0.004};\textbf{0.004};0.009;0.009;0.091;0.087;0.085;0.093;0.114;0.087;0.097;0.103;0.105;34.379;92.105;244.372;0.095;0.082;0.099
normalized;\textbf{1.00};\textbf{1.00};2.25;2.25;22.75;21.75;21.25;23.25;28.50;21.75;24.25;25.75;26.25;8594.75;23026.25;61093.00;23.75;20.50;24.75
lp time \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};0.003;0.005;0.068;0.070;0.069;0.079;0.089;0.077;0.069;0.084;0.079;0.069;0.142;0.271;0.067;0.060;0.075
