;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{22};\textbf{{2}};{60};{20};{265};{439};{216};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{583};{732};{577};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;17;26;14;473;464;466;898;894;924;30;33;29;923;907;889
cuts;;;;;;;;;;;;;;;;;;;
# total;{8,145};{7,611};{7,251};\textbf{{2,658}};{42,067};{48,427};{37,016};{720,003};{766,889};{724,642};{739,395};{751,688};{716,263};{93,567};{119,289};{96,356};{698,314};{735,633};{742,148}
# max;{400};{7,611};{171};{302};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{145};{7,611};{1};{4};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{622};{744};{628};{44,508};{43,656};{43,923};{41,226};{41,302};{41,948};{10,928};{12,800};{10,800};{41,703};{41,918};{40,815}
# removed;{6,574};{0};{6,296};{1,755};{40,934};{47,285};{35,877};{718,510};{765,351};{723,135};{737,943};{750,170};{714,836};{91,523};{117,445};{94,337};{696,899};{734,071};{740,341}
objective;;;;;;;;;;;;;;;;;;;
bound;-128.9;-128.9;-128.9;-128.9;-114;-112.8;-113.7;-100;\textbf{-99.77};-99.92;-100;-100;-99.79;-114.4;-114.4;-114.4;-99.92;-100.4;-100.2
gap;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.892;\textbf{0.128};0.980;0.242;4.044;4.639;3.613;50.171;51.050;49.711;49.771;50.126;50.253;40.856;41.622;38.044;48.765;49.387;50.650
normalized;1.00;\textbf{0.14};1.10;0.27;4.53;5.20;4.05;56.25;57.23;55.73;55.80;56.20;56.34;45.80;46.66;42.65;54.67;55.37;56.78
lp time \si[per-mode=symbol]{\per\second};0.878;\textbf{0.122};0.959;0.233;3.904;4.425;3.508;45.830;46.638;45.381;45.384;45.719;45.811;7.062;8.534;7.034;44.343;44.984;46.225
