;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;\textbf{{2}};\textbf{{2}};{6};{6};{3};{3};{3};{3};{3};{3};{3};{3};{3};\textbf{{2}};\textbf{{2}};\textbf{{2}};{3};{3};{3}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1
cuts;;;;;;;;;;;;;;;;;;;
# total;{15};{15};\textbf{{13}};\textbf{{13}};{17};{17};{17};{17};{17};{17};{17};{17};{17};{15};{15};{15};{17};{17};{17}
# max;{15};{15};{7};{7};{15};{15};{15};{15};{15};{15};{15};{15};{15};{15};{15};{15};{15};{15};{15}
# min;{15};{15};{1};{1};{2};{2};{2};{2};{2};{2};{2};{2};{2};{15};{15};{15};{2};{2};{2}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{2};{2};{2};{2};{2};{2};{2};{2};{2};{0};{0};{0};{2};{2};{2}
# removed;{0};{0};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{0};{0};{0};{1};{1};{1}
objective;;;;;;;;;;;;;;;;;;;
bound;-6.041;-6.041;-6.041;-6.041;\textbf{-6.04};\textbf{-6.04};\textbf{-6.04};\textbf{-6.04};\textbf{-6.04};\textbf{-6.04};\textbf{-6.04};\textbf{-6.04};\textbf{-6.04};-6.041;-6.041;-6.041;\textbf{-6.04};\textbf{-6.04};\textbf{-6.04}
gap;0.0%;0.0%;0.0%;0.0%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;0.0%;0.0%;0.0%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};0.002;0.002;\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};1.950;1.444;3.400;\textbf{0.001};\textbf{0.001};\textbf{0.001}
normalized;\textbf{1.00};\textbf{1.00};2.00;2.00;\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};1950.00;1444.00;3400.00;\textbf{1.00};\textbf{1.00};\textbf{1.00}
lp time \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001}
