;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{3};\textbf{{2}};{14};{14};{373};{432};{384};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{73};{172};{241};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;57;80;57;8612;8603;8777;15726;16359;15345;14;29;71;16097;16093;15832
cuts;;;;;;;;;;;;;;;;;;;
# total;{689};{764};\textbf{{372}};\textbf{{372}};{6,346};{5,837};{6,615};{346,494};{346,931};{353,117};{311,230};{323,327};{304,055};{4,674};{9,346};{10,038};{319,405};{318,767};{315,155}
# max;{400};{764};{59};{59};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{289};{764};{5};{5};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{465};{500};{457};{334,998};{334,696};{341,229};{298,158};{311,064};{289,393};{2,932};{6,098};{7,334};{306,510};{305,673};{300,831}
# removed;{109};{0};{185};{185};{6,143};{5,630};{6,402};{95,309};{68,193};{64,642};{71,045};{47,570};{66,361};{4,001};{8,647};{9,171};{59,915};{58,745};{62,564}
objective;;;;;;;;;;;;;;;;;;;
bound;-3311;-3311;-3311;-3311;-2574;-2578;-2568;\textbf{-2440};\textbf{-2440};\textbf{-2440};\textbf{-2440};\textbf{-2440};\textbf{-2440};-2946;-2920;-2920;\textbf{-2440};\textbf{-2440};\textbf{-2440}
gap;36.0%;36.0%;36.0%;36.0%;5.7%;5.9%;5.5%;$\mathbf{0.2%}$;$\mathbf{0.2%}$;$\mathbf{0.2%}$;$\mathbf{0.2%}$;$\mathbf{0.2%}$;$\mathbf{0.2%}$;21.0%;19.9%;19.9%;$\mathbf{0.2%}$;$\mathbf{0.2%}$;$\mathbf{0.2%}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.005;\textbf{0.002};0.006;0.007;0.218;0.243;0.219;387.270;484.651;527.059;352.028;501.293;348.340;1.884;3.414;9.037;423.661;417.645;399.822
normalized;1.00;\textbf{0.40};1.20;1.40;43.60;48.60;43.80;77454.00;96930.20;105411.80;70405.60;100258.60;69668.00;376.80;682.80;1807.40;84732.20;83529.00;79964.40
lp time \si[per-mode=symbol]{\per\second};0.005;\textbf{0.001};0.006;0.006;0.179;0.209;0.192;384.787;482.134;524.384;348.893;497.879;345.215;0.070;0.147;0.180;420.405;414.469;396.558
