;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;\textbf{{3}};\textbf{{3}};{9};{9};\textbf{{3}};\textbf{{3}};\textbf{{3}};{25};{516};{153};{18};{41};{54};{4};{4};{4};{322};{45};{264}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;1;1;1;23;514;151;32;78;104;1;2;1;639;85;523
cuts;;;;;;;;;;;;;;;;;;;
# total;{28};{28};\textbf{{16}};\textbf{{16}};{28};{28};{28};{98};{1,851};{546};{82};{173};{222};{56};{56};{56};{1,202};{206};{1,006}
# max;{21};{21};{4};{4};{21};{21};{21};{21};{21};{21};{21};{21};{21};{28};{28};{28};{28};{28};{28}
# min;{7};{7};{1};{1};{7};{7};{7};{1};{1};{1};{1};{1};{1};{7};{7};{7};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{0};{0};{0};{70};{1,823};{518};{54};{145};{194};{28};{28};{28};{1,174};{178};{978}
# removed;{0};{0};{2};{2};{0};{0};{0};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7}
objective;;;;;;;;;;;;;;;;;;;
bound;-4.667;-4.667;-4.667;-4.667;-4.667;-4.667;-4.667;-4.667;-4.667;-4.667;-4.667;-4.667;-4.667;\textbf{-4};-4.2;\textbf{-4};\textbf{-4};\textbf{-4};\textbf{-4}
gap;16.7%;16.7%;16.7%;16.7%;16.7%;16.7%;16.7%;16.7%;16.7%;16.7%;16.7%;16.7%;16.7%;$\bm{0.0%}^{*}$;5.0%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};0.072;0.013;\textbf{0.001};0.005;0.005;\textbf{0.001};\textbf{0.001};\textbf{0.001};0.046;0.008;0.035
normalized;\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};72.00;13.00;\textbf{1.00};5.00;5.00;\textbf{1.00};\textbf{1.00};\textbf{1.00};46.00;8.00;35.00
lp time \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};0.050;0.008;\textbf{0.001};0.002;0.003;\textbf{0.001};\textbf{0.001};\textbf{0.001};0.028;0.005;0.018
